length_mm,voltage,time_range
4,-4.7,160-190s
4,-4.68,160-190s
4,-4.71,160-190s
4,-4.67,160-190s
4,-4.67,160-190s
4,-4.7,160-190s
4,-4.71,160-190s
4,-4.71,160-190s
4,-4.71,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.61,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.6,160-190s
4,-4.68,160-190s
4,-4.64,160-190s
4,-4.64,160-190s
4,-4.68,160-190s
4,-4.63,160-190s
4,-4.66,160-190s
4,-4.63,160-190s
4,-4.64,160-190s
4,-4.62,160-190s
4,-4.63,160-190s
4,-4.64,160-190s
4,-4.61,160-190s
4,-4.62,160-190s
4,-4.67,160-190s
4,-4.65,160-190s
4,-4.64,160-190s
4,-4.62,160-190s
4,-4.65,160-190s
5,-7.06,210-230s
5,-7.08,210-230s
5,-7.07,210-230s
5,-7.07,210-230s
5,-7.12,210-230s
5,-7.15,210-230s
5,-7.18,210-230s
5,-7.15,210-230s
5,-7.13,210-230s
5,-7.16,210-230s
5,-7.15,210-230s
5,-7.2,210-230s
5,-7.15,210-230s
5,-7.17,210-230s
5,-7.19,210-230s
5,-7.12,210-230s
5,-7.16,210-230s
5,-7.2,210-230s
5,-7.22,210-230s
5,-7.18,210-230s
5,-7.19,210-230s
5,-7.11,210-230s
5,-7.15,210-230s
5,-7.12,210-230s
5,-7.14,210-230s
5,-7.22,210-230s
5,-7.15,210-230s
5,-7.09,210-230s
5,-7.18,210-230s
5,-7.12,210-230s
5,-7.15,210-230s
5,-7.15,210-230s
5,-7.14,210-230s
5,-7.18,210-230s
5,-7.15,210-230s
5,-7.15,210-230s
5,-7.11,210-230s
5,-7.13,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.01,210-230s
5,-7.0,210-230s
5,-7.01,210-230s
5,-7.0,210-230s
5,-7.0,210-230s
5,-7.02,210-230s
6,-9.51,240-270s
6,-9.53,240-270s
6,-9.53,240-270s
6,-9.56,240-270s
6,-9.5,240-270s
6,-9.55,240-270s
6,-9.52,240-270s
6,-9.55,240-270s
6,-9.5,240-270s
6,-9.54,240-270s
6,-9.54,240-270s
6,-9.54,240-270s
6,-9.52,240-270s
6,-9.55,240-270s
6,-9.49,240-270s
6,-9.56,240-270s
6,-9.5,240-270s
6,-9.54,240-270s
6,-9.5,240-270s
6,-9.53,240-270s
6,-9.52,240-270s
6,-9.52,240-270s
6,-9.63,240-270s
6,-9.59,240-270s
6,-9.53,240-270s
6,-9.58,240-270s
6,-9.65,240-270s
6,-9.61,240-270s
6,-9.61,240-270s
6,-9.61,240-270s
6,-9.61,240-270s
6,-9.61,240-270s
6,-9.61,240-270s
6,-9.64,240-270s
6,-9.62,240-270s
6,-9.62,240-270s
6,-9.61,240-270s
6,-9.59,240-270s
6,-9.62,240-270s
6,-9.64,240-270s
6,-9.62,240-270s
6,-9.67,240-270s
6,-9.64,240-270s
6,-9.7,240-270s
6,-9.64,240-270s
6,-9.64,240-270s
6,-9.67,240-270s
6,-9.61,240-270s
6,-9.64,240-270s
6,-9.64,240-270s
6,-9.66,240-270s
6,-9.67,240-270s
6,-9.63,240-270s
6,-9.63,240-270s
6,-9.62,240-270s
6,-9.62,240-270s
6,-9.52,240-270s
6,-9.45,240-270s
6,-9.46,240-270s
6,-9.5,240-270s
6,-9.46,240-270s
6,-9.48,240-270s
6,-9.49,240-270s
6,-9.5,240-270s
6,-9.48,240-270s
6,-9.53,240-270s
6,-9.53,240-270s
6,-9.48,240-270s
6,-9.49,240-270s
6,-9.5,240-270s
6,-9.45,240-270s
6,-9.49,240-270s
6,-9.48,240-270s
6,-9.49,240-270s
6,-9.49,240-270s
6,-9.51,240-270s
6,-9.5,240-270s
6,-9.5,240-270s
6,-9.46,240-270s
6,-9.45,240-270s
6,-9.51,240-270s
6,-9.53,240-270s
6,-9.47,240-270s
6,-9.49,240-270s
6,-9.5,240-270s
6,-9.49,240-270s
6,-9.51,240-270s
6,-9.46,240-270s
6,-9.44,240-270s
6,-9.44,240-270s
6,-9.48,240-270s
6,-9.52,240-270s
6,-9.47,240-270s
6,-9.49,240-270s
6,-9.52,240-270s
6,-9.52,240-270s
6,-9.48,240-270s
6,-9.49,240-270s
6,-9.52,240-270s
6,-9.55,240-270s
6,-9.55,240-270s
6,-9.56,240-270s
6,-9.48,240-270s
6,-9.51,240-270s
6,-9.49,240-270s
6,-9.52,240-270s
6,-9.54,240-270s
6,-9.49,240-270s
6,-9.52,240-270s
6,-9.55,240-270s
6,-9.55,240-270s
6,-9.53,240-270s
6,-9.51,240-270s
6,-9.53,240-270s
6,-9.49,240-270s
6,-9.55,240-270s
6,-9.51,240-270s
6,-9.49,240-270s
6,-9.52,240-270s
